Programa,Categoria,Nível,Instituição / organização,Área / foco,Local,Formato,Duração,Applications open,Deadline,Período / data do programa,Elegível?,Requisitos / elegibilidade relevantes,Funding / benefícios,Seleção / docs relevantes,Prioridade,Status / observações,Link,Já apliquei?
SPAR – Fall 2026,AI Safety research program,Undergrad / MSc / PhD / professional,SPAR,"AI Safety, interpretability, alignment, governance, security, societal risks",Remoto,Remoto / part-time,3 meses,28/07/2026,18/08/2026,14/09/2026–14/12/2026,Sim,"Aberto a undergrad, grad/PhD e professionals; requisitos variam por projeto",Funding depende do projeto,Application específica por projeto; possíveis entrevistas/assessments,Muito alta,Deadline geral passou,,
SPAR – Spring 2027,AI Safety research program,Undergrad / MSc / PhD / professional,SPAR,"AI Safety, interpretability, policy etc.",Remoto,Remoto / part-time,~3 meses,01/12/2026,N/A,Spring 2027,Sim,Projetos e requisitos mudam a cada rodada,Varia por projeto,Project-specific application,Muito alta,Applications devem abrir por volta de dezembro,,
MATS Winter 2027 – Neel Nanda,AI Safety fellowship,Research fellowship,MATS + Neel Nanda / Google DeepMind,Empirical mechanistic interpretability / AI safety,"Berkeley, EUA + remoto",Híbrido → presencial,Exploration ~5 semanas + research ~12 semanas,Aberto,04/09/2026,Exploration 28/09/2026–30/10/2026; Berkeley 19/01/2027–10/04/2027,Sim,"Forte capacidade técnica, research taste, mech interp / ML",Main phase: ~$19.2k stipend + compute + housing + food + travel + visa support,Application + exploration phase + avaliações,Muito alta,Um dos programas mais diretamente alinhados a mech interp,,
MATS Winter 2027 – General,AI Safety fellowship,Research fellowship,MATS,"AI alignment/safety: empirical, theory, strategy, policy, security etc.",Berkeley / stream dependent,Majoritariamente full-time,10–12 semanas,01/08/2026,06/09/2026,Winter 2027,Sim,Background varia por track; seleção forte,~$19.2k stipend + compute + housing + food + travel + visa support,"Stage 1, evaluations, mentor selection",Muito alta,General applications,,
MATS Residency,AI Safety advanced program,Researcher,MATS,Long-term frontier AI safety research/incubation,"Berkeley, EUA",Presencial,Long-term,N/A,N/A,2027,Possivelmente,Voltado a pesquisadores mais avançados,Funded/support varies,Research track / selection,Média,Mais adequado como target posterior,,
KHIPU 2027,ML school / research meeting,Undergrad+ / researchers,KHIPU,"Artificial Intelligence / Machine Learning, lectures, posters, networking","São Paulo, Brasil",Presencial,5 dias,20/07/2026,31/08/2026,05/04/2027–09/04/2027,Sim,Application obrigatória; seleção competitiva,Bolsas de hospedagem/transporte podem existir,Application; oportunidades de poster conforme edição,Alta,Deadline próximo,,
KHIPUx 2026–27,Community events,Vários,KHIPU,Eventos locais de AI/ML na América Latina,América Latina,Presencial / híbrido,Varia,,,,,,,,Média,Networking; não é target acadêmico principal,,
LAMIR 2026,Workshop / school,,LAMIR / UFMG ecosystem,"Music Information Retrieval, Music AI, ML, signal processing","Belo Horizonte, Brasil",Presencial,,,28/08/2026,15/12/2026–17/12/2026,,,,,Média,Paper deadline; MIR School em 14/12/2026,,
NeurIPS 2026 – Main Conference,Conference,,NeurIPS,"Machine Learning geral; deep learning, representation learning, safety, interpretability","Sydney, Austrália + satellites",Presencial,,,N/A,06/12/2026–12/12/2026,,,,,Muito alta,Main paper deadline já passou,,
NeurIPS 2026 Workshops,Conference / Workshop,,NeurIPS,"ML; workshops específicos em AI safety, interpretability, alignment etc.","Sydney, Austrália",Presencial,,,N/A,11/12/2026–12/12/2026,,,,,Muito alta,Cada workshop tem CFP independente,,
Interpretability for Discovery @ NeurIPS 2026,Workshop,,NeurIPS,Interpretability / mechanistic interpretability for scientific discovery,NeurIPS 2026,Presencial,,,N/A,12/2026,,,,,Muito alta,Diretamente relacionado ao tema de mech interp / scientific discovery,,
ICLR 2027,Conference,,ICLR,"Deep Learning, representation learning, LLMs, mechanistic interpretability, alignment",EUA,Presencial,,,18/09/2026,26/04/2027–30/04/2027,,,,,Muito alta,Abstract 18/09/2026; paper 25/09/2026,,
ICML 2027,Conference,,ICML,"Machine Learning geral; interpretability, robustness, theory, applications",América do Sul,Presencial,,,N/A,2027,,,,,Muito alta,Local e deadlines específicos ainda N/A,,
ACM FAccT 2027,Conference,,ACM FAccT,"Responsible AI, fairness, accountability, transparency, bias, harms, sociotechnical AI",N/A,N/A,,,27/10/2026,21/06/2027–24/06/2027,,,,,Muito alta,Abstract 27/10/2026; paper 03/11/2026,,
