Conference Name,Area,"Tier (A*, A, B, C)",Country,Region (US / Europe / China / Brazil / Other),Organizer / Association,Focus Areas,Submission Deadline (Exact or Empty if unknown),Notification Date,Conference Date Range,Expected Submission Month,Expected Conference Month,Date Status (Confirmed / Estimated / Rolling / Unknown),Location Type (In-person / Virtual / Hybrid),"Acceptance Rate (if known, else blank)",Website,Submission Portal,Research Tags,Industry Relevance Score (1-10),Research Impact Score (1-10),Prestige Score (1-10),Priority (P0 / P1 / P2),Notes
VLDB (International Conference on Very Large Data Bases),Data,A*,Brazil,Brazil,VLDB Endowment,Database Architecture; Query Processing; Distributed Databases; Big Data Systems,2026-03-01,2026-05-15,2026-08-31 to 2026-09-04,March,August,Confirmed,In-person,,https://vldb.org/2026/,https://cmt3.research.microsoft.com/,Databases; Data Engines; Query Optimization,9,10,10,P0,"Highest tiered data management engine conference, 2026 edition in Rio."
CHI (ACM CHI Conference on Human Factors in Computing Systems),HCI,A*,Germany,Europe,ACM SIGCHI,Human-Computer Interaction; User Interface Design; Social Computing,,2026-01-15,2026-04-25 to 2026-04-30,September,April,Estimated,In-person,,https://chi2026.acm.org/,https://new.precisionconference.com/,HCI; UI Design; User Experience,8,10,10,P0,Absolute premier human-computer interaction venue globally.
POPL (ACM SIGPLAN Symposium on Principles of Programming Languages),Theory/PL,A*,United States,US,ACM SIGPLAN,Programming Language Theory; Formal Verification; Compilers; Semantics,2025-07-08,2025-10-22,2026-01-18 to 2026-01-24,July,January,Confirmed,In-person,0.24,https://popl26.sigplan.org/,https://hotcrp.com/,Programming Languages; Compilers; Formal Methods,6,10,10,P0,Pinnacle theory-focused programming languages venue.
PLDI (ACM SIGPLAN Conference on Programming Language Design and Implementation),Systems/PL,A*,United Kingdom,Europe,ACM SIGPLAN,Compiler Optimization; Runtime Systems; Static Analysis; Program Synthesis,,2026-03-05,2026-06-14 to 2026-06-18,November,June,Estimated,In-person,,https://pldi26.sigplan.org/,https://hotcrp.com/,Compilers; Program Analysis; Systems Software,8,10,10,P0,Pinnacle applied programming systems and compiler venue.
AAAI (AAAI Conference on Artificial Intelligence),AI/ML,A,United States,US,AAAI,General AI; Heuristic Search; Knowledge Representation; Multi-Agent Systems,,2025-12-05,2026-02-20 to 2026-02-26,August,February,Estimated,In-person,0.23,https://aaai.org/,https://cmt3.research.microsoft.com/,Artificial Intelligence; Multi-Agent Systems,9,9,9,P1,Prestigious broad-coverage global AI conference.
NSDI (USENIX Symposium on Networked Systems Design and Implementation),Systems/Networks,A*,United States,US,USENIX,Networked Systems; Cloud Infrastructures; Data Center Networks; P2P Systems,2025-09-04,2025-12-12,2026-04-14 to 2026-04-16,September,April,Confirmed,In-person,0.19,https://www.usenix.org/conference/nsdi26,https://hotcrp.com/,Networked Systems; Distributed Infrastructure,9,10,10,P0,High-prestige conference focused on full-stack web/cloud systems.
OSDI (USENIX Symposium on Operating Systems Design and Implementation),Systems,A*,United States,US,USENIX,Operating Systems; Distributed Systems Infrastructure; Large Scale Storage,,2026-01-15,2026-07-14 to 2026-07-16,May,July,Estimated,In-person,,https://www.usenix.org/conferences/by-title/osdi,https://hotcrp.com/,Operating Systems; Cloud Infrastructure,9,10,10,P0,Elite systems design venue alternating cycles with SOSP.
EMNLP (Conference on Empirical Methods in Natural Language Processing),NLP/AI,A*,Qatar,Other,ACL SIGDAT,Empirical NLP; Machine Translation; Information Extraction; LLM Evaluation,,2026-08-15,2026-11-10 to 2026-11-14,May,November,Estimated,In-person,,https://sigdat.org/,https://openreview.net/,NLP; Text Mining; Machine Translation,9,10,9,P0,Ultra-high citation empirical NLP conference.
WWW (The Web Conference),Data/Web,A*,Brazil,Brazil,ACM IW3C2,Web Mining; Social Network Analysis; Search Engines; Web Security,2025-10-10,2026-01-22,2026-04-20 to 2026-04-24,October,April,Confirmed,In-person,0.2,https://www2026.thewebconf.org/,https://easychair.org/,Web Architecture; Social Networks; Information Retrieval,9,9,10,P0,"Top-tier venue for Web infrastructure, algorithms and networks."
ICSE (International Conference on Software Engineering),Software Eng.,A*,Portugal,Europe,ACM / IEEE,Software Engineering Methodologies; Code Analysis; Testing; DevOps,,2025-12-10,2026-05-24 to 2026-05-30,August,May,Estimated,In-person,0.22,https://conf.researchr.org/home/icse-2026,https://hotcrp.com/,Software Engineering; Testing; Code Automation,8,10,10,P0,Flagship international software engineering venue.
