Program_ID;University;Program;Degree_Type;Country;City;Department;Duration;Program_Website;Research_Areas;Computer_Vision;Multimodal_AI;Foundation_Models_LLMs;Scientific_ML;Data_Centric_AI;Reinforcement_Learning;Data_Engineering_Distributed_Systems;Best_Labs;Best_Professors;Industry_Partners;Funding_Type;Funding_Description;Fully_Funded;Tuition_Per_Year_USD;Estimated_Living_Cost_Per_Month_USD;Typical_Monthly_Stipend_USD;Typical_Annual_Stipend_USD;Housing_Included;Research_Assistantship_Available;Teaching_Assistantship_Available;Industry_Funded_Thesis_Available;Net_Financial_Outcome;Admission_Probability;Competitiveness;GRE_Required;English_Requirement;Minimum_GPA_Requirement;Publications_Important;Research_Experience_Important;Contact_PI_Before_Applying;Interview_Required;Application_Opens;Priority_Deadline;Scholarship_Deadline;Funding_Deadline;Final_Application_Deadline;Recommendation_Letters_Due;Interview_Period;Admission_Results_Period;Acceptance_Deadline;Visa_Application_Start_Date;Program_Start_Date;Deadline_Status;Research_Fit_Score;Funding_Score;Prestige_Score;Industry_Opportunity_Score;Admission_Probability_Score;Overall_Score;Priority_Tier;Applying;Application_Status;Notes
PROG_011;University of Amsterdam;Master of Science in Artificial Intelligence;Master of Science in Artificial Intelligence;Netherlands;Zurich;Faculty of Science;2 Years (120 ECTS);Not Found;Global center of excellence for Geometric Deep Learning, Equivariant Neural Networks, Computer Vision, and Generative Modeling.;Yes;No;No;Yes;Yes;Yes;Yes;QUVA Lab (Qualcomm & UvA joint research facility), Delta Lab (Bosch & UvA joint facility), AMLAB (Amsterdam Machine Learning Lab).;Max Welling (Graph Neural Networks/Gauge Equivariant CNNs/Generative AI), Cees Snoek (Intelligent Sensory Systems/Vision).;The Science Park Amsterdam is structurally integrated with corporate research arms. UvA hosts co-funded industrial research labs with companies like Qualcomm, Bosch, and Elsevier, providing direct internship opportunities.;Partially Funded / Merit-Based.;Non-EU tuition fees are approx. €22,000 per year. Exceptional international students can compete for the Amsterdam Excellence Scholarship (AES) or the Amsterdam Merit Scholarship (AMS), which cover tuition fees and partial living expenses. If you do not receive these, you must fund the program yourself.;No;Not Found;Not Found;22;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;International student portal closes on January 15 annually.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;9;10;7;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_012;National University of Singapore;Master of Computing (General / AI Specialization);Master of Computing;Singapore;Zurich;NUS School of Computing;1.5 to 2 Years;Not Found;Generative AI, Large Language Models (the birthplace of several foundational open-source Chinese LLMs), Deep Learning hardware acceleration, and Multi-modal Representation Learning.;Yes;Yes;Yes;Yes;Yes;Yes;Yes;NUS AI Innovation Research Hub, Lab for Media Search.;Ooi Beng Chin (Database Systems/ML Integration), Mohan Kankanhalli (Multimodal/Vision).;Strong ties to Asia's top technology hubs, including Grab, Sea Group, Alibaba, and regional research arms for Google, Microsoft, and Meta.;Partially Funded / Tuition Grant Option.;Singapore historically offered Service Obligation schemes to offset international fees. For pure research-track master’s degrees, students can compete for the NUS Research Scholarship, which provides a full tuition waiver and a monthly stipend, though these are typically reserved for PhD tracks. Most master's coursework students self-fund or secure part-time research assistantships on campus.;Yes;Covered / Low;Not Found;HKD 18,500;Not Found;Yes;Yes;Yes;Yes;Positive;Strong Target;Highly Competitive;Yes;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Fall Intake: December 1 to January 31.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;10;9;10;8;9.2;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_013;University of Hong Kong;University of Hong Kong (HKU);MSc;Hong Kong (SAR);Hong Kong;Not Found;2 Years;Not Found;Machine Learning Theory, Data Science Foundations, Distributed Systems, and Natural Language Processing.;No;No;Yes;Yes;No;No;Yes;Not Found;Not Found;HKU Innovation Wing. Direct recruitment by global banking tech units, Microsoft Research Asia, and tech firms looking for algorithmic engineering talent.;Not Found;Not Found;Yes;Covered / Low;Not Found;HKD 18,500;Not Found;No;Yes;Yes;No;Positive;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;10;9;10;7;8.8;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_014;Hong Kong Polytechnic University;Hong Kong Polytechnic University (PolyU);MSc;Hong Kong (SAR);Hong Kong;Not Found;2 Years;Not Found;Applied Computer Vision, Biometrics, Data-Centric Software Engineering, and Pattern Recognition.;Yes;No;No;No;Yes;No;Yes;Not Found;Not Found;Extensive regional collaboration with enterprise supply-chain, robotics, and logistics companies across the Greater Bay Area.;Not Found;Not Found;Yes;Covered / Low;Not Found;18,300;Not Found;No;Yes;Yes;No;Positive;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;10;9;10;8;9.2;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_015;City University of Hong Kong;City University of Hong Kong (CityU);MSc;Singapore;Singapore;Not Found;2 Years;Not Found;Multimedia Data Analysis, Evolutionary Computing, Data Engineering, and Applied Deep Learning.;No;No;No;Yes;No;No;Yes;Not Found;Not Found;Direct corporate-sponsored project options with local telecommunication networks, international banks, and cloud service providers.;Not Found;Not Found;Yes;Covered / Low;Not Found;18,400;Not Found;No;Yes;Yes;No;Positive;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;10;9;10;8;9.0;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_016;National Taiwan University;National Taiwan University (NTU);MSc;Taiwan;Taipei;Not Found;2 Years;Not Found;Computer Vision, Natural Language Processing, Speech and Audio Signal Processing (exceptional match for your MIR background), and Machine Learning Theory.;Yes;Yes;Yes;Yes;No;No;Yes;Not Found;Not Found;Strategic research partnerships with TSMC, Foxconn, ASUS, and MediaTek.;Not Found;Not Found;No;Covered / Low;Not Found;15,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_017;National Yang Ming Chiao Tung University;National Yang Ming Chiao Tung University (NYCU);MSc;Not Found;Hsinchu;Not Found;2 Years;Not Found;Multimedia AI, Computer Vision, Embedded AI Systems, and Hardware-Software Co-design for Deep Learning.;Yes;No;No;Yes;No;No;Yes;Not Found;Not Found;Located directly adjacent to Hsinchu Science Park. Direct engineering pipelines to global semiconductor and AI hardware companies.;Not Found;Not Found;No;Covered / Low;Not Found;20,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_018;National Tsing Hua University (NTHU;Taiwan);MSc;Taiwan;Taipei;Not Found;2 Years;Not Found;Deep Learning Architectures, Data Mining, Human-Computer Interaction, and Pattern Analysis.;No;No;No;Yes;No;No;No;Not Found;Not Found;Collaborative laboratories with local technology conglomerates and global industrial robotics manufacturers.;Not Found;Not Found;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_019;National Cheng Kung University;National Cheng Kung University (NCKU);MSc;Taiwan;Taipei;Not Found;2 Years;Not Found;Applied Machine Learning, Intelligent Systems, Medical Image Processing, and Large-Scale Data Systems.;Yes;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Deep integration with the Southern Taiwan Science Park, focusing on manufacturing automation and smart enterprise AI systems.;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Likely;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;9;8.4;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_020;Saarland University;Saarland University (Saarbrücken, Germany);MSc;Germany;Saarbrücken;Not Found;2 Years;Not Found;Computer Vision, 3D Generative AI (Prof. Christian Theobalt), Multimodal Language Processing, and Representation Learning.;Yes;Yes;Yes;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;Yes;Covered / Low;Not Found;€600 - €1,200;Not Found;No;Yes;Yes;No;Positive;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;10;8;10;8;9.0;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_021;University of Tübingen;University of Tübingen (Tübingen, Germany);MSc;Germany;Tübingen;Not Found;2 Years;Not Found;Causality (Prof. Bernhard Schölkopf), Empirical Inference, Probabilistic Reinforcement Learning, and Computer Vision.;Yes;No;No;Yes;No;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;1,500;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;7;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_022;Aalto University;Aalto University (Espoo, Finland);MSc;Finland;Espoo;Not Found;2 Years;Not Found;Probabilistic Modeling, Deep Generative Models, Interactive AI, and Bioinformatics. Home to the Finnish Center for Artificial Intelligence (FCAI).;No;No;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;15,000;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;8;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_023;KTH Royal Institute of Technology;KTH Royal Institute of Technology (Stockholm, Sweden);MSc;Sweden;Stockholm;Not Found;2 Years;Not Found;Deep Learning for Speech and Audio, Computer Vision, Robotics, and Decentralized Learning.;Yes;Yes;No;Yes;No;No;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;9;6;8;10;8;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_024;Chalmers University of Technology;Chalmers University of Technology (Gothenburg, Sweden);MSc;Sweden;Gothenburg;Not Found;2 Years;Not Found;Data-Centric AI, Deep Learning Foundations, Sequential Decision Making, and Autonomous Systems.;No;No;Yes;Yes;Yes;Yes;Yes;Not Found;Not Found;Not Found;Not Found;Not Found;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;Yes;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;10;8;8.0;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_025;University of Helsinki;University of Helsinki (Helsinki, Finland);MSc;Finland;Helsinki;Not Found;2 Years;Not Found;Probabilistic Graphical Models, Unsupervised Representation Learning, and AI for Scientific Discovery.;No;No;No;Yes;No;No;No;Not Found;Not Found;Not Found;Not Found;Not Found;No;Covered / Low;Not Found;1,900;Not Found;No;Yes;Yes;No;Variable;Strong Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Estimated Dec-Jan;Not Found;Not Found;Not Found;Not Found;Not Found;September;Estimated;8;6;8;8;8;7.6;C;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
